Feature,Importance
walkDistance,0.41080449761167026
boosts,0.20922181094488393
longestKill,0.09905589547126493
heals,0.0549230541395473
damageDealt,0.053013629460874304
weaponsAcquired,0.04945933225127471
kills,0.030179336311062937
rideDistance,0.02759513523550121
killStreaks,0.02247998804825744
assists,0.018989404831786752
headshotKills,0.007426246099718117
matchType,0.006666620047254888
DBNOs,0.005828788201661478
revives,0.0030013226920580375
teamKills,0.0013549386531837987
